Student,Params (M),cuda b1 (ms),cuda b32 (ms),GFLOPs/seq,fp32 size (MB),INT8 size (MB),INT8 macro-F1
BERT-mini,11.2,3.47,0.37,0.87,43,33,0.8319
BERT-small,28.8,3.74,1.25,3.36,110,73,0.8448
BiLSTM,10.4,2.57,0.18,0.00,40,32,0.8736
DeBERTa-v3-xsmall,70.8,23.49,3.25,10.57,270,209,0.8765
DistilBERT,67.0,5.22,3.72,11.17,255,132,0.8931
