Student,Method,Clean,Leet,Swap,Space,Mixed,transfer to implicit,implicit-hate AUC after transfer
BERT-mini,Fine-tune only,0.8394,0.7475,0.7417,0.7275,0.7116,0.4229,0.6002
BERT-mini,D-MTHD,0.8385,0.7460,0.7361,0.7250,0.7077,0.4113,0.6003
