dir,student,mode,seed,params,macro_f1,accuracy,ece,roc_auc,pr_auc,train_time_s,tag,benign_fpr,ironic_recall,obf_leet,obf_swap,obf_space,obf_mixed,int8_macro_f1,int8_size_mb,fp32_size_mb,int8_lat_b1,fp32_lat_b1
/kaggle/working/runs/tweets/bert-mini/sweep_T_8.0/seed1,bert-mini,sweep_T_8.0,1,11172102.0,0.8391247668370713,0.853213129912159,0.08425972965157147,,,204.51328134536743,sweep_T_8.0,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_delta_0.5/seed1,bert-mini,sweep_delta_0.5,1,11172102.0,0.8399321685285387,0.8539066111881646,0.08397354805601782,,,209.095472574234,sweep_delta_0.5,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/dmthd_hetero/seed1,bert-mini,dmthd_hetero,1,11172102.0,0.8375281228275918,0.8511326860841424,0.07655177205814787,,,204.91198301315308,,0.37032842582106457,0.7532051282051282,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/dmthd_hetero/seed2,bert-mini,dmthd_hetero,2,11172102.0,0.8381932751801203,0.8509015256588072,0.07867536426169199,,,206.07405519485474,,0.33975084937712347,0.7217948717948718,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/dmthd_hetero/seed3,bert-mini,dmthd_hetero,3,11172102.0,0.8362152183088177,0.8515950069348127,0.08216637003713884,,,209.96693968772888,,0.39637599093997733,0.7544871794871795,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ft/seed1,bert-mini,ft,1,11172102.0,0.8393524375553193,0.8529819694868238,0.040265031861614065,,,172.41152548789978,,0.34994337485843713,0.7596153846153846,0.7475349142944568,0.7416751358961359,0.7274756670894069,0.711605856990181,,,,,
/kaggle/working/runs/tweets/bert-mini/ft/seed2,bert-mini,ft,2,11172102.0,0.8395067967631262,0.8527508090614887,0.04424923323559862,,,170.39638495445251,,0.35900339750849375,0.7551282051282051,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ft/seed3,bert-mini,ft,3,11172102.0,0.8389021728533067,0.8515950069348127,0.04041402015044521,,,169.60959005355835,,0.3522083805209513,0.717948717948718,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ablation_no_dynamic/seed1,bert-mini,ablation_no_dynamic,1,11172102.0,0.8386057394676448,0.8529819694868238,0.08615164485619237,,,205.79633259773254,no_dynamic,0.4088335220838052,0.8006410256410257,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_tau_5.0/seed1,bert-mini,sweep_tau_5.0,1,11172102.0,0.8389366602187097,0.853213129912159,0.08563761270492651,,,205.04294657707214,sweep_tau_5.0,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_tau_0.5/seed1,bert-mini,sweep_tau_0.5,1,11172102.0,0.8389706282455488,0.853213129912159,0.08566886464231163,,,206.562020778656,sweep_tau_0.5,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ablation_from_scratch/seed1,bert-mini,ablation_from_scratch,1,11172102.0,0.7905118668249642,0.8116042533518262,0.06215741688241793,,,207.0239429473877,from_scratch,0.5866364665911665,0.6685897435897435,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_T_1.0/seed1,bert-mini,sweep_T_1.0,1,11172102.0,0.8385627827310733,0.8525196486361535,0.04264491441703976,,,211.80937600135803,sweep_T_1.0,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_delta_0.1/seed1,bert-mini,sweep_delta_0.1,1,11172102.0,0.8388730581958156,0.8534442903374942,0.08480274723433695,,,206.61367201805115,sweep_delta_0.1,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/dmthd/seed1,bert-mini,dmthd,1,11172102.0,0.8385319026785892,0.8527508090614887,0.08621850122718747,,,203.13836312294006,,0.4043035107587769,0.7993589743589744,0.7459917849222298,0.7360593269737219,0.7250320002832727,0.7077428233747631,0.831930730913387,33.47371006011963,42.646121978759766,10.61268391406145,9.913705515614879
/kaggle/working/runs/tweets/bert-mini/dmthd/seed2,bert-mini,dmthd,2,11172102.0,0.838375589695815,0.8497457235321313,0.08157379013131852,,,200.15919470787048,,0.3646659116647792,0.7173076923076923,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/dmthd/seed3,bert-mini,dmthd,3,11172102.0,0.8364694624676771,0.8511326860841424,0.08819552722817152,,,204.167147397995,,0.36013590033975085,0.7423076923076923,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/skd/seed1,bert-mini,skd,1,11172102.0,0.8400165371740281,0.8534442903374942,0.08091943458556247,,,188.7677824497223,,0.38391845979614947,0.7762820512820513,,,,,,,,,
