Student,Question,Baseline,Candidate,Seeds,Difference,95 per cent interval,Interval excludes zero
DistilBERT,does the method with DeBERTa help,Fine-tune only,D-MTHD (heterogeneous committee),3,+0.0058,"[-0.0025, +0.0154]",no
DistilBERT,does a committee beat one teacher,Single-teacher KD,Uniform multi-teacher,3,-0.0003,"[-0.0070, +0.0060]",no
DistilBERT,does the weighted committee beat one teacher,Single-teacher KD,D-MTHD,3,-0.0003,"[-0.0072, +0.0070]",no
DistilBERT,does a DeBERTa teacher change averaging,Uniform multi-teacher,Uniform multi-teacher (het.),3,+0.0016,"[-0.0064, +0.0096]",no
DistilBERT,does per-instance weighting beat averaging,Uniform multi-teacher,D-MTHD,3,+0.0000,"[-0.0079, +0.0082]",no
DistilBERT,does a DeBERTa teacher change the method,D-MTHD,D-MTHD (heterogeneous committee),3,+0.0006,"[-0.0083, +0.0109]",no
DistilBERT,"weighting against averaging, with DeBERTa",Uniform multi-teacher (het.),D-MTHD (heterogeneous committee),3,-0.0010,"[-0.0087, +0.0069]",no
BERT-mini,does a committee with the specialist help,Fine-tune only,Uniform multi-teacher + implicit specialist,3,-0.0003,"[-0.0080, +0.0075]",no
BERT-mini,does the method with the specialist help,Fine-tune only,D-MTHD + implicit specialist,3,-0.0019,"[-0.0093, +0.0049]",no
BERT-mini,does adding the specialist change averaging,Uniform multi-teacher,Uniform multi-teacher + implicit specialist,3,+0.0005,"[-0.0059, +0.0064]",no
BERT-mini,does adding the specialist change the method,D-MTHD,D-MTHD + implicit specialist,3,-0.0005,"[-0.0069, +0.0055]",no
BERT-mini,"weighting against averaging, with the specialist",Uniform multi-teacher + implicit specialist,D-MTHD + implicit specialist,3,-0.0017,"[-0.0092, +0.0078]",no
BERT-mini,the specialist alone against the full committee,D-MTHD + implicit specialist,"implicit specialist alone, no committee",1,+0.0008,"[-0.0048, +0.0058]",no
BERT-mini,pre-training on the implicit corpus instead,Fine-tune only,"student pre-trained on the implicit corpus, no distillation",1,-0.0017,"[-0.0083, +0.0055]",no
BERT-mini,"the same knowledge by pre-training, not distillation",D-MTHD + implicit specialist,"student pre-trained on the implicit corpus, no distillation",1,-0.0008,"[-0.0084, +0.0064]",no
BERT-mini,the sharpest weighting against averaging,Uniform multi-teacher,"D-MTHD, tau = 0.05",1,+0.0020,"[-0.0042, +0.0077]",no
BERT-mini,the sharpest weighting against the default,D-MTHD,"D-MTHD, tau = 0.05",1,+0.0007,"[-0.0008, +0.0023]",no
BERT-mini,what pre-training is worth,Fine-tune only,randomly initialised student,1,-0.0488,"[-0.0603, -0.0376]",yes
